number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
128,1. FSV Mainz 05,Borussia Dortmund,0,4,37,63,9,18,0,7,7,3,2,8,3,5,2,1,9,10,1,0,0,0,10,8,,,6,8,0,2,0,1,0,1,0,2,,,3,13,6,5,3,0,389,650,295,560,19,47,1,7,10,17,,,46,49,7,11,19,13,10,10,,
138,Augsburg,Fortuna Düsseldorf,3,0,46,54,12,6,7,2,3,4,2,0,4,2,5,1,11,14,3,4,0,0,14,11,,,4,5,3,2,2,2,,,,,,,7,3,5,3,2,4,334,397,227,286,19,37,5,4,4,7,,,52,51,22,23,12,10,15,15,,
135,Werder Bremen,1. FSV Mainz 05,0,5,60,40,14,17,5,8,5,4,4,5,8,5,0,2,14,13,2,2,0,0,13,13,,,6,8,1,3,1,0,1,1,0,1,,,8,11,6,6,4,5,518,337,440,261,27,33,8,5,3,17,,,41,64,13,22,12,12,7,10,,
136,1. FC Union Berlin,1899 Hoffenheim,0,2,49,51,16,7,2,4,8,2,6,1,6,1,4,1,17,14,2,6,0,0,13,16,,,8,10,2,2,2,1,,,,,,,9,3,7,4,2,2,375,399,254,280,36,25,4,1,7,8,,,63,67,32,38,12,9,12,11,,
143,Wolfsburg,FC Schalke 04,1,1,53,47,29,8,11,2,9,6,9,0,12,5,2,0,14,11,1,1,0,0,11,13,,,9,10,3,3,2,2,1,1,,,,,20,6,9,2,1,9,399,354,316,260,43,38,11,2,18,6,,,75,64,30,22,16,23,17,9,,
146,1. FSV Mainz 05,Bayer 04 Leverkusen,0,1,39,61,20,14,2,4,11,6,7,4,6,6,6,3,9,9,0,2,0,1,8,8,,,6,10,5,2,5,1,,,1,3,,,11,7,9,7,3,2,317,503,216,405,26,24,5,2,8,8,,,51,49,16,15,19,18,15,13,,
142,Freiburg,Bayern München,1,3,35,65,15,22,5,10,8,9,2,3,6,8,3,1,6,8,0,3,0,0,8,6,,,15,11,4,11,3,8,0,1,,,,,12,14,3,8,6,4,331,602,230,506,39,37,5,8,10,10,,,53,53,19,23,17,14,17,9,,
130,Hertha BSC,Freiburg,1,0,38,62,16,15,4,3,7,8,5,4,4,7,0,1,11,6,2,0,0,0,5,9,,,11,8,1,1,1,1,,,1,0,,,5,10,11,5,3,3,359,566,274,472,28,34,3,4,3,3,,,41,40,22,18,12,11,13,9,,
150,Hertha BSC,Borussia M'gladbach,0,0,40,60,7,11,0,5,6,4,1,2,1,7,1,6,12,11,2,2,0,0,11,11,,,11,8,1,2,1,2,1,0,1,0,,,4,9,3,2,5,0,356,518,263,431,39,24,3,2,7,6,,,50,45,19,20,14,10,14,8,,
159,RB Leipzig,1. FC Union Berlin,3,1,66,34,19,14,8,4,5,5,6,5,4,4,3,4,6,20,1,3,0,0,18,6,,,4,12,2,2,2,1,,,1,0,,,12,10,7,4,3,4,627,311,517,204,24,23,4,4,15,10,,,71,63,21,33,18,15,3,13,,
